,move_st_hr,move_arv_hr,start_place_cd,arv_place_cd,sex_nm,age_grp,popl_cnt
251,2019-09-30 15:00:00,2019-10-01 15:00:00,320846,110546,M,40,2.99
252,2019-09-30 15:00:00,2019-10-01 15:00:00,341401,110830,M,30,2.39
253,2019-09-30 16:00:00,2019-10-01 00:00:00,110049,110982,M,40,3.17
254,2019-09-30 16:00:00,2019-10-01 00:00:00,110798,110779,F,40,3.32
255,2019-09-30 16:00:00,2019-10-01 00:00:00,111422,111692,F,30,2.41
256,2019-09-30 16:00:00,2019-10-01 00:00:00,250334,110546,M,20,2.68
257,2019-09-30 16:00:00,2019-10-01 00:00:00,310751,110046,M,60,4.11
258,2019-09-30 16:00:00,2019-10-01 00:00:00,310881,111397,M,20,2.25
259,2019-09-30 16:00:00,2019-10-01 00:00:00,311619,110233,M,10,4.53
260,2019-09-30 16:00:00,2019-10-01 00:00:00,110206,110091,M,30,2.72
261,2019-09-30 16:00:00,2019-10-01 00:00:00,111136,111007,M,30,2.73
262,2019-09-30 16:00:00,2019-10-01 00:00:00,310891,111543,M,40,3.17
263,2019-09-30 16:00:00,2019-10-01 00:00:00,311414,110895,M,40,3.18
264,2019-09-30 16:00:00,2019-10-01 00:00:00,110639,110595,M,40,3.19
265,2019-09-30 16:00:00,2019-10-01 00:00:00,110663,110509,F,20,2.2
266,2019-09-30 16:00:00,2019-10-01 00:00:00,111113,111120,M,60,4.08
267,2019-09-30 16:00:00,2019-10-01 00:00:00,310806,111057,M,40,3.18
268,2019-09-30 16:00:00,2019-10-01 01:00:00,110069,110437,F,50,3.12
269,2019-09-30 16:00:00,2019-10-01 01:00:00,110880,110626,F,30,3.03
270,2019-09-30 16:00:00,2019-10-01 01:00:00,111008,111032,F,60,3.84
271,2019-09-30 16:00:00,2019-10-01 01:00:00,111012,230027,M,50,3.22
272,2019-09-30 16:00:00,2019-10-01 01:00:00,111153,310021,F,50,3.27
273,2019-09-30 16:00:00,2019-10-01 01:00:00,111255,111238,M,30,2.39
274,2019-09-30 16:00:00,2019-10-01 01:00:00,111771,111677,F,30,2.42
275,2019-09-30 16:00:00,2019-10-01 01:00:00,310186,111486,F,20,2.08
276,2019-09-30 16:00:00,2019-10-01 01:00:00,310192,110094,F,10,3.84
277,2019-09-30 16:00:00,2019-10-01 01:00:00,310518,111115,M,40,3.0
278,2019-09-30 16:00:00,2019-10-01 01:00:00,311982,110739,M,50,3.29
279,2019-09-30 16:00:00,2019-10-01 01:00:00,110032,111365,M,20,2.26
280,2019-09-30 16:00:00,2019-10-01 01:00:00,110037,311137,F,20,2.2
281,2019-09-30 16:00:00,2019-10-01 01:00:00,110774,110753,M,50,3.29
282,2019-09-30 16:00:00,2019-10-01 01:00:00,111085,110497,M,50,3.2
283,2019-09-30 16:00:00,2019-10-01 01:00:00,110064,110342,F,50,3.13
284,2019-09-30 16:00:00,2019-10-01 01:00:00,110281,110094,M,30,2.29
285,2019-09-30 16:00:00,2019-10-01 02:00:00,110814,111081,M,20,2.71
286,2019-09-30 16:00:00,2019-10-01 02:00:00,230027,111718,M,50,3.29
287,2019-09-30 16:00:00,2019-10-01 02:00:00,311338,110996,M,20,2.27
288,2019-09-30 16:00:00,2019-10-01 03:00:00,312309,111605,M,40,3.18
